,sobject_id,tmass_id,gaiadr3_source_id,survey_name,field_id,setup,mjd,ra,dec,flag_sp,flag_sp_fit,opt_loop,flag_red,snr_px_ccd1,snr_px_ccd2,snr_px_ccd3,snr_px_ccd4,chi2_sp,px_used_perc,model_name,closest_model,comp_time,fit_global_rv,rv_comp_1,e_rv_comp_1,rv_comp_2,e_rv_comp_2,rv_gaia_dr3,e_rv_gaia_dr3,v_bary_eff,teff,e_teff,logg,e_logg,fe_h,e_fe_h,flag_fe_h,vmic,e_vmic,vsini,e_vsini,nn_li_fe,nn_e_li_fe,nn_flag_li_fe,c_fe,e_c_fe,flag_c_fe,n_fe,e_n_fe,flag_n_fe,o_fe,e_o_fe,flag_o_fe,na_fe,e_na_fe,flag_na_fe,mg_fe,e_mg_fe,flag_mg_fe,al_fe,e_al_fe,flag_al_fe,si_fe,e_si_fe,flag_si_fe,k_fe,e_k_fe,flag_k_fe,ca_fe,e_ca_fe,flag_ca_fe,sc_fe,e_sc_fe,flag_sc_fe,ti_fe,e_ti_fe,flag_ti_fe,v_fe,e_v_fe,flag_v_fe,cr_fe,e_cr_fe,flag_cr_fe,mn_fe,e_mn_fe,flag_mn_fe,co_fe,e_co_fe,flag_co_fe,ni_fe,e_ni_fe,flag_ni_fe,cu_fe,e_cu_fe,flag_cu_fe,zn_fe,e_zn_fe,flag_zn_fe,rb_fe,e_rb_fe,flag_rb_fe,sr_fe,e_sr_fe,flag_sr_fe,y_fe,e_y_fe,flag_y_fe,zr_fe,e_zr_fe,flag_zr_fe,mo_fe,e_mo_fe,flag_mo_fe,ru_fe,e_ru_fe,flag_ru_fe,ba_fe,e_ba_fe,flag_ba_fe,la_fe,e_la_fe,flag_la_fe,ce_fe,e_ce_fe,flag_ce_fe,nd_fe,e_nd_fe,flag_nd_fe,sm_fe,e_sm_fe,flag_sm_fe,eu_fe,e_eu_fe,flag_eu_fe,mass,age,bc_ks,a_ks,lbol,r_med,r_lo,r_hi,sb2_rv_16,sb2_rv_50,sb2_rv_84,ew_h_beta,ew_h_alpha,res_h_beta,res_h_alpha,ew_k_is,sigma_k_is,rv_k_is,ew_dib5780,sigma_dib5780,rv_dib5780,ew_dib5797,sigma_dib5797,rv_dib5797,ew_dib6613,sigma_dib6613,rv_dib6613,ebv,phot_g_mean_mag,bp_rp,j_m,j_msigcom,h_m,h_msigcom,ks_m,ks_msigcom,W2mag,e_W2mag,ruwe,parallax,parallax_error,ew_li,e_ew_li_low,e_ew_li_upp,a_li,a_li_upp_lim,e_a_li_low,e_a_li_upp,e_a_li_teff,flag_a_li,cluster,prob,pmra,pmde,plx,Gmag,BPmag,RPmag,closest_eep,phot_distance,eep,iso_age,iso_radius,iso_teff,iso_logg,iso_feh,iso_mass
0,190224002101222,b'05390587+0919451',3336346882048786688,b'orion',-8,b'allstar',58538.46,84.77445983886719,9.329177856445312,104,0,2,0,61.552456,93.775856,144.22565,119.145294,1.29494,94,b'5250_4.00_-0.50',b'5500_4.00_-0.50',141.19888,True,25.700726,0.26400205,62.700726,35.997753,28.84387,5.2104487,-27.557971954345703,5429.0195,70.496216,4.09949,0.11045269,-0.32114398,0.06555266,0,0.28389537,0.2879469,26.215242,1.4263496,1.551656,0.061259974,0,0.26144984,0.042580545,32,-0.46687865,0.22128189,33,0.4903856,0.07820589,0,-0.3872671,0.03615579,0,0.47889397,0.016934156,0,-0.10446543,0.050867483,0,0.073745996,0.028181996,0,-0.0002881512,0.03552428,0,-0.026423853,0.033236034,0,0.23486526,0.035806675,0,0.16028099,0.024393575,0,-0.17946346,0.058410898,0,0.09712765,0.024641827,0,-0.23903859,0.026762962,0,0.13299307,0.053634025,0,-0.033297356,0.01862256,0,-0.0885728,0.029957438,0,-0.023667216,0.05208828,0,,,2,,,2,-0.042879052,0.06035314,0,0.9833464,0.23625849,0,,,2,,,2,0.32546997,0.045659218,0,-0.26435632,0.2271264,1,-0.0772646,0.3496997,0,-0.2308181,0.17929502,1,,,2,,,2,1.3175812,2.4455163,1.6564934,0.0862923,2.2483683,389.20108,386.18558,392.4551,54.060726,62.700726,70.040726,-0.06004807,-0.21609697,0.59052986,0.5774045,0.037894707,0.20355058,34.497665,0.034510843,0.3420663,-12.755394,0.019696075,0.20271344,29.888306,0.0072498005,0.2169653,12.355612,0.3884,11.923133,0.94013023,10.723,0.023,10.364,0.025,10.251,0.021,10.19,0.02,1.1819162,2.572076566539008,0.021205353,-23.64463,8.723399,8.80523,,1.403963,,,,1,b'Collinder_69',0.8750915936472089,1.44909412,-2.09609862,2.53669057,11.923133,12.305242,11.365111,208.4431371478105,54.67701989944853,164.66068884908418,3401566.4723688434,2.257678696382181,5279.703661175463,3.989283654771329,0.04267659066005906,1.8132107573863496
1,190205001601103,b'05340555+0942466',3337958663016889600,b'orion',-8,b'allstar',58519.496,83.52312469482422,9.712933540344238,0,0,2,16384,41.635387,70.177986,662.02057,96.423355,1.5218796,94,b'4750_4.00_0.00',b'4750_4.00_0.00',1015.08185,True,25.551756,0.22535582,,,26.274942,2.7662878,-23.32746696472168,4668.9644,66.317474,3.8920102,0.123375714,-0.04645145,0.052820425,0,1.526994,0.28031668,15.060618,1.4038695,1.2724011,0.014392809,0,0.08432415,0.033899136,0,-0.43454355,0.07503723,0,0.6471912,0.024875738,0,0.00048564374,0.014817709,0,0.2137954,0.0054795747,0,-0.021909267,0.0074985456,0,0.19402538,0.007530644,0,0.41588405,0.01965511,0,-0.06784151,0.0056918575,0,-0.11808335,0.009892295,0,-0.10393645,0.0058401357,0,-0.011241227,0.009823129,0,-0.13311137,0.008178931,0,0.26739097,0.009287347,0,-0.11455937,0.010417705,0,0.09838252,0.0034618166,0,0.00868842,0.027182706,0,0.7154047,0.043257076,0,0.43121657,0.0752224,0,0.39556035,0.044286538,0,-0.09468967,0.016158227,0,0.13651545,0.070783325,0,,,2,-0.30175582,0.15278505,0,0.3395991,0.009761582,0,0.7079614,0.059537005,0,0.42913446,0.113766395,0,-0.5131685,0.05168115,0,-0.0011293032,0.06160966,0,0.26409408,0.040925104,0,1.1507134,0.0018901556,2.1235898,0.12301207,1.7319446,392.99094,390.95056,395.07233,,-124.44824,,-0.015983585,-0.3635353,0.6084334,0.2501235,,,,0.010794455,0.14858069,37.57229,0.014302347,0.13582626,7.5713615,0.014874063,0.1611475,14.074279,0.8166,12.392747,1.2652397,10.801,0.023,10.262,0.024,10.125,0.021,10.048,0.021,0.9845594,2.54483899852139,0.012345521,308.4519,0.35200182,0.5047178,2.4957619,,0.0022509254,0.003223011,0.087712035,0,b'Collinder_69',0.9484328246417859,0.91857061,-2.08868708,2.528547,12.392747,12.950322,11.685082,211.87107156467107,60.448285448159965,156.0,3440132.836789932,1.6697231781699122,4519.870613627967,4.051005733959365,0.04267798551210663,1.1432424170057953
2,190205001601126,b'05330810+0937105',3337962240726177280,b'orion',-8,b'allstar',58519.496,83.2837905883789,9.619625091552734,0,0,2,0,43.545925,74.53114,104.02942,96.84189,1.2095693,94,b'4500_4.00_-0.25',b'4750_4.00_0.00',344.0863,True,26.718401,0.27961707,,,23.179317,4.870253,-23.398462295532227,4684.3984,67.68268,4.0872564,0.097358465,-0.008657701,0.058263123,0,1.1890014,0.28283083,19.794819,1.4226028,1.4712448,0.06257378,0,0.22817954,0.036470756,32,0.21586393,0.038186546,32,0.13312769,0.0402947,0,-0.019298837,0.015537488,0,0.0974622,0.015514768,0,0.043422848,0.028377833,0,-0.022462483,0.01837426,0,0.4492771,0.021009276,0,0.036682256,0.021382533,0,-0.1823386,0.020909976,0,0.0936486,0.015515569,0,0.1864788,0.022724139,0,-0.080577135,0.018602885,0,-0.09555716,0.019867426,0,-0.11165425,0.027908593,0,-0.122042045,0.014459894,0,0.00013637543,0.02585958,0,-0.04409454,0.04568786,0,-0.12904666,0.13782904,0,-0.02785104,0.16465081,0,0.30640575,0.038218297,0,-0.14923652,0.08816128,0,,,2,0.12553614,0.2456052,0,0.22334251,0.027603894,0,-0.11104791,0.10997408,0,-0.16687694,0.1751487,1,0.39375892,0.06914541,0,0.91400963,0.115519054,0,0.66398656,0.17913991,0,1.1422049,0.0036212853,2.1146111,0.08078375,1.1112142,387.49347,384.88278,389.62506,,,,-0.05650426,-0.35787705,0.62591624,0.42936376,0.0149314,0.13202503,-175.36961,0.050791956,0.56328726,-22.245832,0.035310518,0.53418183,-7.789339,0.08814198,1.8120334,31.94422,0.6196,13.014252,1.3746967,11.258,0.025,10.688,0.023,10.543,0.022,10.52,0.022,0.9469202,2.582271343658928,0.016089376,293.246,3.265562,3.3644545,2.4204032,,0.0155406725,0.017110124,0.08898094,0,b'Collinder_69',0.7340673272305508,0.79851431,-2.10856287,2.54888734,13.014252,13.634336,12.259639,231.01074696906943,78.33576087333832,156.0,3367390.151483941,1.6881459530957121,4535.21632340671,4.0460939948246,0.042677992599859965,1.1554596146684086
3,190205001601071,b'05350833+0942537',3337979003982003200,b'orion',-8,b'allstar',58519.496,83.78475189208984,9.714919090270996,36,0,2,0,56.49047,91.37177,122.76565,121.19933,1.102149,94,b'4750_4.00_-0.25',b'5000_4.00_-0.25',133.50757,False,28.287762,0.42944288,,,28.442354,4.172513,-23.241178512573242,4904.9067,68.909164,4.0203247,0.11738152,-0.12113375,0.057111416,0,1.0838319,0.28350192,26.691872,1.4517916,1.4709766,0.039437316,0,0.18744817,0.05557785,32,-0.62784517,0.16478892,33,0.7966361,0.051678106,0,-0.09177011,0.02038283,0,-0.0071310923,0.01813486,0,-0.0878801,0.027181393,0,0.029710494,0.021510907,0,0.43862873,0.016703418,0,-0.03256973,0.023746157,0,-0.07492355,0.020427674,0,0.025602218,0.018219542,0,-0.04025407,0.025212947,0,-0.065155044,0.017779743,0,0.06792844,0.018902037,0,0.12971212,0.020203898,0,0.028931804,0.010233171,0,-0.16316077,0.02513472,0,0.031412587,0.043011915,0,0.97966874,0.17646466,0,-0.11453817,0.19035068,1,0.022668242,0.042238228,0,-0.32404798,0.09143455,0,,,2,-0.061853267,0.28463122,1,0.35377362,0.038797405,0,0.33994567,0.113979235,0,-0.33359143,0.198049,1,0.013501681,0.09194825,0,-0.6121658,0.13130803,1,,,2,1.3400246,0.02879108,1.9722862,0.17992765,1.8281251,397.809,395.77423,400.15457,,,,-0.104470976,-0.4679699,0.58146745,0.3108295,,,,0.04012957,0.7635672,8.697023,0.024142226,0.3751623,14.684554,0.020866996,0.24735948,18.632292,0.8405,12.526786,1.2162781,10.953,0.026,10.433,0.022,10.301,0.024,10.157,0.022,1.0195011,2.51696077482998,0.013727374,79.76404,5.64961,4.950406,1.5886511,,0.040627874,0.033343874,0.083871745,0,b'Collinder_69',0.7771064275343125,1.67493495,-2.01065104,2.49814678,12.526786,13.054034,11.837756,166.00964893661626,42.94680407626652,162.0,3412284.0155619127,1.8106231864560707,4755.04826940119,4.051621697215598,0.04267759252371113,1.3462142234654486
4,190205001601042,b'05350606+1000197',3338005362197689472,b'orion',-8,b'allstar',58519.496,83.77525329589844,10.005502700805664,8,0,2,0,72.647316,106.73509,136.83762,130.81134,1.1589482,94,b'5000_4.00_0.00',b'5000_4.00_0.00',443.11517,True,30.765377,0.18608642,-83.98462,65.51206,25.856052,1.1017044,-23.268016815185547,5117.9365,68.15182,4.1580443,0.09335474,-0.028061755,0.055682994,0,1.0236384,0.28239977,5.501946,1.442509,2.1514964,0.029464306,0,0.035855304,0.053612232,32,-0.22264141,0.08443804,32,0.036731664,0.053552385,0,-0.11071601,0.0164983,0,-0.039910432,0.016934762,0,-0.05451645,0.024240635,0,-0.032176103,0.012843835,0,0.1922974,0.024549417,0,-0.10694551,0.019338226,0,-0.098054476,0.015557156,0,-0.03276284,0.0127736945,0,0.048574455,0.01662914,0,-0.0103675295,0.009748835,0,-0.052848287,0.016313635,0,0.005744688,0.02000995,0,-0.06360415,0.009011727,0,-0.18169361,0.022702033,0,0.058860566,0.034895506,0,-0.38673618,0.21765158,0,0.3114821,0.15143311,0,-0.027598169,0.030366212,0,-0.030317344,0.078390144,0,,,2,,,2,-0.016843542,0.03459864,0,0.030685335,0.076344974,0,0.07475898,0.13968548,0,0.14905798,0.0700029,0,-0.22743489,0.099946044,0,,,2,1.3817847,0.16525522,1.8455082,0.08904589,1.6273104,393.03183,385.93137,400.0778,-98.95462,-83.98462,-69.53462,0.09783767,0.20690677,0.81614834,1.0601419,0.020038087,0.10377207,-7.5092096,0.03539489,0.44943544,13.645422,0.01626262,0.20979613,13.333515,0.021299632,0.16685644,18.24105,0.8122,12.490663,1.1413536,11.007,0.026,10.528,0.024,10.437,0.021,10.351,0.02,2.672347,2.5439348903772245,0.04456609,266.68973,0.9749642,0.93807805,2.829197,,0.0046316404,0.0044079064,0.08151716,0,b'Collinder_69',0.550302463027946,2.00371582,-1.72419986,2.52412489,12.490663,12.980906,11.839553,166.00964893661626,43.4139524466295,162.0,3426774.868232895,1.9592694420373458,4969.193836732165,4.041048707226217,0.04267725697570672,1.538470817146058
5,190205001601165,b'05320664+0953582',3338166986111279232,b'orion',-8,b'allstar',58519.496,83.0277099609375,9.899466514587402,36,0,2,0,58.424034,90.57272,124.38563,110.68251,1.1684744,94,b'5250_4.00_0.00',b'5250_4.00_-0.25',116.424995,False,27.458435,1.1526006,,,26.35932,2.9777656,-23.505064010620117,5288.976,69.20274,4.1266346,0.10055158,-0.12273108,0.058779065,0,0.78871286,0.28627613,26.686092,1.4226422,1.5778954,0.045653615,0,-0.16349012,0.060701434,32,0.007766813,0.09219641,33,0.15531239,0.067523725,0,-0.26293206,0.024852542,0,-0.017009482,0.025010234,0,-0.05750996,0.031259336,0,-0.14448099,0.017971542,0,0.056041934,0.034665026,0,-0.05258681,0.029823657,0,0.0040199333,0.027026216,0,0.06904219,0.023419362,0,-0.014556885,0.030419221,0,0.10943545,0.018629503,0,-0.078068145,0.026151216,0,0.043925434,0.033516277,0,-0.050099675,0.01548297,0,-0.18440595,0.02754996,0,-0.22149274,0.04895239,0,0.18291026,0.29326233,1,,,2,-0.056346137,0.04627543,0,-0.13227373,0.13688296,0,,,2,,,2,0.36064285,0.03913855,0,0.71726716,0.15140775,0,0.58223975,0.22640859,0,0.22459194,0.08455963,0,0.010158939,0.1564847,0,,,2,1.3505137,2.0739353,1.742312,0.08078422,1.9500493,399.51068,397.557,401.6304,,57.458435,,-0.038006384,-0.17735928,0.7078216,0.73925924,0.033469472,0.1729582,29.455189,0.09975959,1.5399349,50.49779,0.011214058,0.21222602,22.606852,0.025238631,0.37749955,17.019896,0.4876,12.2964,1.0686693,10.891,0.022,10.477,0.023,10.371,0.022,10.309,0.02,0.99939114,2.50265134697562,0.013267569,-33.916306,7.4490814,7.58293,,1.2098688,,,,1,b'Collinder_69',0.7456184525024253,1.60890716,-2.1039382,2.48300435,12.2964,12.747058,11.678389,166.00964893661626,41.05923241032221,163.56482114706682,3418289.535205233,2.107519965882218,5140.184206243482,4.0188399425898815,0.04267658345239077,1.6912936649727193
6,190205001601018,b'05355433+1004233',3339494959935297792,b'orion',-8,b'allstar',58519.496,83.97637176513672,10.073124885559082,116,0,2,0,47.82174,81.057045,108.260376,114.46339,1.6389514,94,b'4750_4.00_-1.00',b'4750_4.00_-1.50',190.98283,False,26.59365,29.4243,,,44.14438,29.982029,-23.20676040649414,4684.5293,71.46323,3.842836,0.10454385,-1.189144,0.077059776,0,0.257061,0.3000757,32.08826,1.6662666,1.3569279,0.084131084,0,0.13094257,0.10325998,0,-0.99305993,0.23993948,1,0.28701633,0.1763725,0,-0.33994538,0.03874817,0,0.6473832,0.019648518,0,0.10503903,0.08490374,0,0.5293643,0.027783427,0,-0.53170365,0.03234638,0,0.21320388,0.037768822,0,-0.29636103,0.06405593,1,0.14422934,0.03880065,0,-0.161783,0.055390935,0,0.42323047,0.020493297,0,-0.22605646,0.033297505,0,-0.288927,0.07542661,0,-0.3482608,0.028316014,0,0.3069377,0.03238661,0,0.22469762,0.06282893,0,,,2,,,2,0.23201174,0.06409326,0,0.824706,0.22153267,0,,,2,,,2,0.4422191,0.051354907,0,-0.0044770576,0.3076639,1,0.94301075,0.13968138,0,0.6172959,0.171536,0,,,2,,,2,0.96618986,0.0017750227,2.0880668,0.10832424,1.6503848,399.70633,397.73767,401.8528,,-63.40635,,-0.18263632,-0.12978253,0.33857837,0.48706084,0.14144598,0.8832043,-72.60146,0.43926126,2.8602772,119.26577,0.037384324,0.40162814,0.8546276,,,,0.6919,12.655761,1.3217163,10.936,0.023,10.378,0.022,10.235,0.021,10.18,0.021,1.0261419,2.5004008094585704,0.013779058,-7.4005895,10.470032,8.20214,,0.60796875,,,,1,b'Collinder_69',1.0,0.91373827,-1.92315516,2.48176281,12.655761,13.245433,11.923717,229.06780198962068,71.42865962329297,156.0,3369666.3714367347,1.6875694788056093,4534.736134771369,4.046247689984113,0.042677992378074285,1.1550773215351557
7,190205001601399,b'05344248+1011540',3339512925782465664,b'orion',-8,b'allstar',58519.496,83.677001953125,10.198322296142578,29,0,2,64,31.627066,51.424305,580.9569,79.9462,2.3431416,94,b'4500_4.00_-0.50',b'4750_4.00_-0.50',412.65747,False,26.016811,1.2269342,-76.233185,9.641167,28.299448,5.779541,-23.315872192382812,4714.941,66.47695,3.8867452,0.102083616,-0.35478252,0.053508718,0,0.52447796,0.28101975,24.550072,1.4036287,1.007958,0.023179494,0,-0.41777053,0.029874714,0,-0.97024214,0.05604722,0,-0.689503,0.020497842,0,0.5562609,0.014379646,0,0.70338297,0.0059439605,0,-0.3736104,0.014980545,0,0.38118324,0.015902273,0,0.20388058,0.023860203,0,-0.12038706,0.010475124,0,0.06303887,0.014355958,0,0.21451586,0.009105423,0,0.07659579,0.01693453,0,-0.08061493,0.008622948,0,0.029636003,0.014645817,0,0.3032524,0.00883804,0,-0.41580746,0.008256228,0,-0.081888765,0.02615325,0,0.7333436,0.044623677,0,-0.9296642,0.08524423,1,-0.84083813,0.06601719,1,-0.18648478,0.025011156,0,-0.6401938,0.08751305,0,,,2,0.47578043,0.10070638,0,0.21663585,0.013684356,0,-0.8150106,0.09625603,1,1.4509941,0.039640434,0,0.31531453,0.085392065,0,0.041793764,0.09966396,0,,,2,1.0916188,0.0018526459,2.087393,0.11107833,1.7295202,398.6812,379.40054,417.49185,-90.68318,-76.233185,-71.40318,-0.36625627,-0.9341257,0.8799084,-0.4459023,0.15385628,0.18155713,0.39846444,0.11377825,0.26146144,40.11224,0.07439559,0.34627202,69.92711,0.03717811,0.15396999,58.551086,0.9827,13.045196,1.600008,10.973,0.024,10.324,0.024,10.182,0.021,10.123,0.019,8.604902,2.6579096603967662,0.13479123,-253.07158,1.8137892,1.8619257,,-0.11099038,,,,1,b'Collinder_69',0.93342515868093,0.72838958,-1.98100374,2.62154866,13.045196,13.77828,12.178272,138.68817405260347,24.50008155012125,156.99999999999997,3401196.2913827207,1.699224182148269,4564.945712289025,4.0497183830916885,0.04267786309583062,1.180519214296239
8,190205001601083,b'05343970+0941460',3337978321083667200,b'orion',-8,b'allstar',58519.496,83.66545867919922,9.69610595703125,2049,0,2,64,2.723568,19.079994,127.967766,38.788258,0.9314506,94,b'3700_4.00_-0.75',b'3700_4.00_-0.75',143.29826,True,28.62045,0.21401645,,,7.2932224,7.631783,-23.279102325439453,3666.4702,67.02353,3.9136999,0.1116268,-0.5786592,0.05533788,0,1.2088007,0.2828532,12.63997,1.4073935,1.6798964,0.09672017,0,0.13556674,0.060587183,0,-0.65066653,0.15105247,0,0.20141368,0.030995155,0,-0.21894161,0.025971903,0,0.023511387,0.01166739,0,0.20888135,0.033372987,0,0.5284617,0.030111771,0,-0.12315906,0.02266324,0,0.12238166,0.01303213,0,-0.23144051,0.028547755,0,0.22713403,0.017892541,0,0.3775015,0.025943132,0,0.10929603,0.014524731,0,0.07374167,0.058248132,0,-0.1100561,0.04793743,0,0.12568042,0.01562903,0,-0.32419556,0.05994319,0,0.47484356,0.09043358,0,-0.20899841,0.11902373,0,-0.38924173,0.17631178,0,-0.14989066,0.062151186,0,0.32108557,0.08989256,0,,,2,-0.015176325,0.16693902,0,-0.26362374,0.024048712,0,-0.067416236,0.22416666,0,0.6598049,0.2524092,0,0.099241175,0.18899052,0,0.55885327,0.21523309,0,,,2,0.4957943,0.0029573422,2.6144402,0.22215597,0.2699536,403.36792,397.5055,409.006,,-221.37955,,-0.39128187,-1.0075693,0.22003688,0.75473094,0.07733244,0.29272342,-11.656349,,,,1.2522786e-15,0.15036102,-17.850956,,,,0.7901,15.067843,2.0181408,12.656,0.023,11.974,0.023,11.808,0.027,11.652,0.023,1.0687108,2.4806488234673134,0.03222149,359.58218,1.8293852,1.506251,1.4419199,,0.0105030425,0.009284001,,2,b'Collinder_69',0.9152467350842658,1.57442491,-2.07757866,2.43461582,15.067843,16.084316,14.066175,110.90308503286704,32.61284048680245,123.59826523843336,3378347.9458512776,1.1259893785392174,3516.567765511414,3.9102794514040315,0.04267836283822558,0.3759822188512897
9,190205001601068,b'05350693+0948574',3337986739219528192,b'orion',-8,b'allstar',58519.496,83.77891540527344,9.815947532653809,10253,1,3,16448,6.190196,31.272394,220.02715,54.49506,1.479054,94,b'3600_4.00_-0.50',b'3600_3.50_-0.50',159.8359,False,26.35022,0.92806053,269.35022,5.592008,47.056,9.46757,-23.25141716003418,3584.9004,66.2426,3.7334368,0.108244866,-0.3782805,0.05217394,0,0.5331811,0.28031254,21.337946,1.408493,1.4372636,0.03311135,0,-0.06236977,0.03403164,0,-0.59093493,0.06751872,0,0.14766906,0.015603366,0,-0.16871923,0.015273287,0,0.20550963,0.0077137114,0,-0.15228164,0.02113097,0,0.35310355,0.01988653,0,-0.088482544,0.014982711,0,0.0218897,0.011101604,0,0.022822749,0.01794543,0,0.08874932,0.008968635,0,0.02283866,0.01581498,0,-0.10053817,0.012712797,0,-0.06616281,0.028537393,0,0.119202346,0.021250485,0,0.2917436,0.0109270215,0,-0.30135918,0.031702045,0,0.02381346,0.037645772,0,-0.056848906,0.049216036,0,-0.0996232,0.072969586,0,-0.18611595,0.025049647,0,0.03994448,0.046160284,0,-0.05314,0.08373957,0,0.011263459,0.081809975,0,0.05721595,0.011421893,0,-0.21270266,0.09724084,0,-0.26584497,0.058977894,0,-0.079866916,0.08689287,0,-0.11146122,0.08230085,0,,,2,0.46792817,0.0019018274,2.696328,0.2910064,0.35265124,366.38434,358.4908,376.85056,259.4702,269.35022,270.6502,-0.5406032,-1.1978738,0.19461298,1.7903512,0.055053826,0.15433404,-4.877183,0.015944207,0.11047917,35.12163,0.022341015,0.1165248,53.435028,0.06790831,0.25372705,61.782562,0.803,14.652182,1.9988585,12.258,0.027,11.56,0.026,11.296,0.021,11.163,0.021,2.8231473,2.7336452846391874,0.07601382,42.9635,,0.0067809266,-0.36501917,,,7.918148e-05,,6,b'Collinder_69',0.6372904474966661,1.09949189,-2.18799883,2.68787429,14.652182,15.641003,13.642144,154.6065596946219,48.701273857594856,120.5315192285621,3400230.079686578,1.06559721160087,3436.6744972041924,3.898499754219234,0.04267836284295425,0.32765723058225793
10,140809001601238,b'16235763-2744592',6045068475146180096,b'k2_hermes',6552,b'allstar',56878.38,245.99017333984375,-27.74977684020996,33,0,2,0,59.551186,90.5377,128.07166,115.13993,1.0017822,94,b'4750_4.50_-0.25',b'4750_4.50_-0.25',198.11415,True,-1.8839877,0.33821082,,,-8.760831,3.7022455,-27.118268966674805,4799.07,67.674385,4.2771573,0.1019313,-0.073633306,0.05773943,0,1.835679,0.28326926,26.69571,1.4371262,1.5330467,0.041837223,0,-0.4763363,0.05649632,32,-1.0541123,0.11955639,33,-0.52816594,0.072189376,0,-0.13466924,0.014983308,0,0.019627847,0.012345976,0,-0.11886922,0.025278613,0,0.25709492,0.020728648,0,0.37332746,0.019289158,0,0.17398685,0.014559053,0,-0.093302116,0.02013861,0,0.020912837,0.016583571,0,0.07517642,0.019878313,0,-0.0036730897,0.01182371,0,0.001509197,0.015292701,0,0.023608036,0.023088763,0,-0.028307669,0.010726121,0,-0.019422531,0.02014701,0,0.115677446,0.03208599,0,-0.31527555,0.1439031,1,-0.44063348,0.114841506,1,0.3142501,0.032235224,0,-0.071706176,0.077298105,0,,,2,,,2,0.033862054,0.03352011,0,0.2460713,0.11785615,0,-0.11689698,0.13092674,1,-0.22823314,0.080317624,0,0.7306436,0.1035261,0,,,2,1.1003109,0.008526646,2.0407364,0.1955336,0.7615195,157.2103,156.83662,157.49808,,-151.88399,,-0.20535873,-0.83336496,0.38527268,0.22355558,,,,0.114070445,0.84015083,-17.876303,0.021669291,0.56376916,-38.414345,0.031707264,0.4855333,-9.181239,1.0599,12.174025,1.6411066,10.038,0.023,9.381,0.022,9.183,0.023,9.088,0.021,1.0040147,6.362472326838805,0.014006369,195.04924,3.9189723,5.560839,2.0757155,,0.018293614,0.026117682,0.086045556,0,b'HSC_2907',0.7490422650719698,-9.39206614,-20.94516148,6.35349033,12.174025,12.945781,11.304674,209.04117400419386,85.37615268363548,169.63758250504054,6846908.301714616,1.3062777243027834,4649.070578673221,4.227052476234507,-0.19592898243311194,1.0493938895170984
